"Age","ET","IT1","ST","NT","TT1","FT","JT","PT","AT","TT2","RPT","IPT","APT","SPT","PPT","CPT","PWP1","PRE","PWP2","PET1","PET2","PPET","IQ","RSA","RSB","RSC","RSD","RSE","ABF","BCM","CVW","CAD","EU","EM","EA","H","HEM","IT2","LR","LES","LST","MAPR","MI","PC","PSA","PHR","RS","SP","SC","TE","TL"
"39","11","89","59","41","89","11","78","22","34","66","9","11","3","4","6","10","0","10","4","1","1","8","130","100","100","92","100","100","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","63","37","45","55","39","61","43","57","41","59","10","4","8","9","7","5","12","4","1","2","2","3","102","100","92","75","75","33","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","54","46","67","33","54","46","63","37","63","37","11","7","4","7","3","11","8","5","1","1","0","9","110","100","100","92","58","58","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","41","59","32","68","61","39","81","19","39","61","8","10","2","4","7","12","4","5","1","1","1","12","126","100","100","100","92","83","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","28","72","68","32","81","19","71","29","76","24","11","11","4","5","1","11","1","6","8","2","0","7","108","92","83","83","75","67","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","81","19","22","78","82","18","31","69","69","31","10","4","8","10","4","7","5","6","1","3","2","7","116","100","100","83","75","75","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","83","17","68","32","73","27","39","61","87","13","4","10","4","12","7","5","10","8","0","2","0","4","126","100","100","92","92","92","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","62","38","29","71","64","36","79","21","35","65","11","9","3","6","8","6","6","7","0","0","1","10","99","100","92","92","75","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","41","59","38","62","88","12","24","76","31","69","6","10","3","8","12","4","5","8","0","1","3","7","92","100","92","67","57","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","61","39","39","61","63","37","54","46","57","43","6","6","10","6","10","5","6","8","2","1","1","6","112","92","92","83","75","75","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
